SitesLabellisés;DomainesLabellisés;Périmètresdulabel
20 Minutes;20minutes.fr;Display Classique et Vidéo
Actu;Actu.fr;Display Classique et Vidéo
Autoplus;Autoplus.fr;Display Classique et Vidéo
BFM TV;Bfmtv.com;Display Classique et Vidéo
Boursorama;Boursorama.com;Display Classique et Vidéo
Capital;Capital.fr;Display Classique et Vidéo
Caradisiac;Caradisiac.com;Display Classique et Vidéo
Charente Libre;Charentelibre.fr ;Display Classique et Vidéo
Closer;Closermag.fr ;Display Classique et Vidéo
Cnews;cnews.fr;Display Classique et Vidéo
Cosmopolitan;Cosmopolitan.fr;Display Classique et Vidéo
Courrier Picard;Courrier-picard.fr ;Display Classique et Vidéo 
Cuisine Actuelle;cuisineactuelle.fr;Display Classique et Vidéo
Femme Actuelle;femmeactuelle.fr;Display Classique et Vidéo
Futura-sciences;Futura-sciences.com;Display Classique et Vidéo
Gala;gala.fr  ;Display Classique et Vidéo
Gentside;Gentside.com;Display Classique et Vidéo
Grazia;Grazia.fr ;Display Classique et Vidéo
Konbini;konbini.com/fr;Display Classique et Vidéo 
La Depeche;Ladepeche.fr;Display Classique et Vidéo 
La République des Pyrennees;Larepubliquedespyrenees.fr;Display Classique et Vidéo
L'Aisne nouvelle;Aisnenouvelle.fr;Display Classique et Vidéo 
Le Figaro;Lefigaro.fr;Display Classique et Vidéo
Le Point;LePoint.fr;Display Classique et Vidéo
Le Télégramme;Letelegramme.fr;Display Classique et Vidéo
L'Equipe;lequipe.fr;Display Classique et Vidéo
L'Indépendant;Lindependant.fr;Display Classique et Vidéo 
L'Union;Lunion.fr ;Display Classique et Vidéo 
Magicmaman;Magicmaman.com;Display Classique et Vidéo
Marie Claire;Marieclaire.fr;Display Classique et Vidéo
Midi Libre;Midilibre.fr;Display Classique et Vidéo
Monacomatin;Monacomatin.mc;Display Classique et Vidéo
Nicematin;Nicematin.com;Display Classique et Vidéo
Nord Littoral;Nordlittoral.fr ;Display Classique et Vidéo 
NRJ;Nrj-play.fr;Display Classique et Vidéo
Ohmymag;Ohmymag.com;Display Classique et Vidéo
Orange.fr;Orange.fr;Display Classique et Vidéo
Ouest France;Ouest-France.fr;Display Classique et Vidéo
Sudouest;Sudouest.fr;Display Classique et Vidéo
Télé Loisirs;programme-tv.net;Display Classique et Vidéo
Telestar;Telestar.fr ;Display Classique et Vidéo
Topsante;Topsante.com ;Display Classique et Vidéo
Varmatin;Varmatin.com;Display Classique et Vidéo
Vice;vice.com;Display Classique et Vidéo
Voici;voici.fr;Display Classique et Vidéo
Voix du nord;Lavoixdunord.fr;Display Classique et Vidéo 
Agriaffaires;agriaffaires.com;Display Classique 
Annoncesbateaux;Annoncesbateau.com;Display Classique
Argus de l'Assurance;argusdelassurance.com;Display Classique 
Au Féminin;aufeminin.com;Display Classique
Auto Moto;auto-moto.com;Display Classique 
Cdiscount;Cdiscount.com ;Display Classique
Clubic;clubic.com;Display Classique
Corse Matin;corsematin.com;Display Classique
Darty;darty.com;Display Classique
Déco;deco.fr;Display Classique
Doctissimo;doctissimo.fr;Display Classique
Elle;Elle.fr;Display Classique
Fnac;fnac.com;Display Classique
Fnac Spectacles;fnacspectacles.com;Display Classique
Football 365;football365.fr;Display Classique 
France Football;francefootball.fr          ;Display Classique
Frandroid;frandroid.com;Display Classique
La Centrale;Lacentrale.fr;Display Classique
La Gazette des Communes;lagazettedescommunes.com;Display Classique 
La Montagne;Lamontagne.fr;Display Classique
La Nouvelle République;Lanouvellerepublique.fr;Display Classique
La Provence;laprovence.com;Display Classique
La République du Centre;Larep.fr;Display Classique
L'Alsace;Lalsace.fr;Display Classique
L'Argus;Largus.fr;Display Classique
L'Automobile Magazine;automobile-magazine.fr;Display Classique
Le Berry;Leberry.fr;Display Classique
Le Bien Public;BienPublic.com;Display Classique
Le Bon Coin;Leboncoin.fr;Display Classique
