SitesLabellisés;DomainesLabellisés;Périmètresdulabel
Le Dauphiné Libéré;Ledauphine.com;Display Classique
Le Journal de la Maison;lejournaldelamaison.fr;Display Classique
Le Journal de Saône et Loire;Lejsl.com;Display Classique
Le Journal du Centre;Lejdc.fr;Display Classique
Le Moniteur;lemoniteur.fr;Display Classique 
Le Parisien;Leparisien.fr;Display Classique 
Le Populaire;Lepopulaire.fr;Display Classique
Le Progrès;Leprogres.fr;Display Classique
Le Républicain Lorrain;Republicain-lorrain.fr;Display Classique
L'Echo Republicain;Lechorepublicain.fr;Display Classique
Les Dernières Nouvelles d'Alsace;Dna.fr;Display Classique
Les Echos;Lesechos.fr;Display Classique 
L'Est eclair;lest-eclair.fr;Display Classique
L'Est Républicain;Estrepublicain.fr;Display Classique
L'Eveil;Leveil.fr;Display Classique
L'Express;Lexpress.fr;Display Classique
Liberation;Liberation.fr;Display Classique
LSA Conso;lsa-conso.fr;Display Classique 
Lyonne;Lyonne.fr;Display Classique
Machinery Zone;machineryzone.fr;Display Classique 
Maison & Travaux;maison-travaux.fr;Display Classique 
Mappy;mappy.com;Display Classique 
Marmiton;marmiton.org;Display Classique
Neowebcar;neowebcar.com;Display Classique 
Nord Eclair;Nordeclair.fr;Display Classique 
Numérama;numerama.com;Display Classique
Ooreka ;ooreka.fr;Display Classique 
Pages Jaunes;pagesjaunes.fr;Display Classique 
Parents;parents.fr;Display Classique
Paris Normandie;paris-normandie.fr;Display Classique
Passeport Sante;Passeportsante.net;Display Classique
Phonandroid;Phonandroid.com;Display Classique
Promoneuve;Promoneuve.fr;Display Classique
RTL;rtl.fr;Display Classique
Santé Magazine;santemagazine.fr;Display Classique
Se Loger;Seloger.com ;Display Classique
SFR;Sfr.fr;Display Classique
Sport 365;sport365.fr;Display Classique
Tomsguide;Tomsguide.fr;Display Classique
Usine Digitale;usine-digitale.fr;Display Classique 
Usine Nouvelle;usinenouvelle.com;Display Classique 
Via Michelin;Viamichelin.fr;Display Classique
Vosges Matin;Vosgesmatin.fr;Display Classique
01Net;01net.com;Display Vidéo
6Play;6play.fr;Display Vidéo
Dailymotion   ;dailymotion.com  ;Display Vidéo
France TV;France.tv;Display Vidéo
FranceTV Info;Francetvinfo.fr;Display Vidéo
LCI;LCI.fr ;Display Vidéo
My Canal;mycanal.fr;Display Vidéo
TF1;tf1.fr;Display Vidéo
