Rang;Groupes;"Visites totales";"Pages Vues Totales";"Pages Vues / Visites"
2;"Groupe Altice Media";195934698;362454844;1,9
17;"Groupe Centre France La Montagne";18906485;43448589;2,3
21;"Groupe Corse Matin";3081418;5561332;1,8
3;"Groupe France Televisions";180745431;307448643;1,7
8;"Groupe L'Equipe";47108244;160541128;3,4
6;"Groupe La Dépêche du Midi";83191250;169783108;2,0
22;"Groupe La Manche Libre";2555400;4322081;1,7
18;"Groupe La Provence";18019688;46349770;2,6
1;"Groupe Le Monde";215922108;546569236;2,5
5;"Groupe Le Parisien - Aujourd'hui en France";102473547;158593690;1,6
14;"Groupe Le Point";27325151;67563733;2,5
13;"Groupe Les Echos";29340372;60546566;2,1
19;"Groupe Logic Immo";15585284;94522235;6,1
11;"Groupe Marie Claire";30839059;49926003;1,6
20;"Groupe Maville";4222811;11820248;2,8
16;"Groupe Nice Matin";20421145;35664006;1,8
4;"Groupe Ouest France Multimedia";144871362;484349751;3,3
7;"Groupe Radio France";71413463;114098677;1,6
9;"Groupe Reworld Media";35922394;172774168;4,8
10;"Groupe Rossel La Voix";34608484;74174146;2,1
12;"Groupe Se Loger";30143582;152172838;5,1
15;"Groupe Uni-Médias";25734283;39940424;1,6
