Rang;Sites;"Visites totales";"Visites Site Fixe";"Visites Site Mobile";"Visites Site AMP";"Pages Vues Totales";"Pages Vues / Visites"
32;Acteurspublics.com;231658;76892;154766;NC;386239;1,7
12;Argusdelassurance.com;1177007;445893;731114;NC;1716371;1,5
19;Batirama.com;695042;427051;267991;NC;1902626;2,7
17;Batiweb.com;771465;771465;;NC;3508045;4,6
30;Businessimmo.com;314343;176608;137735;NC;608184;1,9
38;Cardiologie-pratique.com;78383;36472;41911;NC;140419;1,8
27;Cbnews.fr;385636;238524;147112;NC;841078;2,2
40;Cession-commerce.com;41662;19959;21703;NC;161427;3,9
44;Diabétologie-pratique.com;12290;7418;4872;NC;27565;2,2
39;Direct-editeurs.fr;54312;31630;22682;NC;199607;3,7
26;e-marchespublics.com;469997;448232;21765;NC;1961117;4,2
18;Egora.fr;718503;718503;;NC;2289871;3,2
37;Emploisoignant.com;140821;45002;95819;NC;631718;4,5
3;Europages.com;3330680;1655899;1674781;NC;12699527;3,8
43;Gynécologie-pratique.com;24958;8575;16383;NC;42666;1,7
9;Infirmiers.com;1260643;424207;836436;NC;2284083;1,8
35;Influencia.net;202196;202196;;NC;431629;2,1
20;Jim.fr;615686;205858;409828;NC;2060057;3,4
13;Ladn.eu;1125775;715186;19790;390799;1305567;1,2
24;Lafranceagricole.fr;534860;391452;143408;NC;1149486;2,2
14;Lagazettedescommunes.com;1066952;616590;450362;NC;2263485;2,1
29;Lareclame.fr;325687;143068;86825;95794;477624;1,5
36;Larevuedupraticien.fr;171354;171354;;NC;267936;1,6
33;Legeneraliste.fr;207970;207970;;NC;632005;3,0
16;Legifiscal.fr;823489;823489;;NC;983750;1,2
10;Legisocial.fr;1216631;1216631;;NC;1725856;1,4
15;Lemoniteur.fr;985829;663805;322024;NC;1866935;1,9
5;Lequotidiendumedecin.fr;2357935;2357935;;NC;5448965;2,3
34;Lequotidiendupharmacien.fr;202972;202972;;NC;655808;3,2
11;Lhotellerie-restauration.fr;1198542;458546;739996;NC;4487906;3,7
22;Livreshebdo.fr;562721;562004;717;NC;826312;1,5
6;lsa-conso.fr;2097968;759740;1338228;NC;3221294;1,5
25;Marchesonline.com;513076;337230;175846;NC;1802192;3,5
31;Offremedia.com;271248;227940;43308;NC;418025;1,5
42;Pediatrie-pratique.com;32435;11857;20578;NC;60376;1,9
28;Remede.org;326755;140101;186654;NC;638630;2,0
45;Sagefemme-pratique.com;9221;3993;5228;NC;21752;2,4
41;Soundlightup.com;35085;35085;;NC;52854;1,5
23;Strategies.fr;538223;367126;171097;NC;707678;1,3
7;Terre-net.fr;1913675;784981;1128694;NC;3500096;1,8
8;TourMag.com;1322773;393991;928782;NC;1750595;1,3
21;Usine-digitale.fr;574799;282293;292506;NC;904190;1,6
2;UsineNouvelle.com;3696164;1814932;1881232;NC;6229192;1,7
1;Vidal.fr;6790607;6790607;;NC;13105677;1,9
4;Village-justice.com;2506936;1273822;1233114;NC;4036713;1,6
