Rang;Groupes;"Visites totales";"Pages Vues Totales";"Pages Vues / Visites"
3;"Groupe France Marches";497069;1937097;3,9
2;"Groupe NetLEGIS Média b2b";2149661;2861032;1,3
1;"Groupe Profession Santé";4643096;10917921;2,4
