Nom du compte;Forme juridique;Publications;Région;Site Web	
HEBDI;SARL;Heb'di;Alsace;https://www.hebdi.com/;;
MediaLab;SARL;Rue89 Strasbourg;Alsace;http://www.rue89strasbourg.com;;
La Revue Far Ouest;SAS;La Revue Far Ouest;Aquitaine;https://www.revue-farouest.fr/;;
Aqui! Presse;SAS;aqui.fr;Aquitaine;http://www.aqui.fr;;
Indigo;SARL;Presselib.com;Aquitaine;http://presselib.com/;;
INpact Mediagroup;SAS;Next INpact;Aquitaine;http://www.nextinpact.com;;
PressBox;SARL;Rue89 Bordeaux;Aquitaine;http://rue89bordeaux.com/;;
Bobonne Magazine;Auto-entrepreneur;Bobonne Magazine;Autre;www.bobonnemagazine.com;;
Les presses de la lenteur;;L'intimiste;Autre;;;
Fines Bouches Concept;SAS;Fines Bouches Magazine;Autre;www.finesbouchesmagazine.com;;
Journal Petit Pont;SAS;Petit Pont;Autre;www.journalpetitpont.fr;;
Simon Thollot;Auto-entrepreneur;Paris Lights Up;Autre;https://parislightsup.com;;
Emmanuelle Julien;Auto-entrepreneur;Paris Derrière;Autre;https://parisderriere.fr;;
Insane Magazine;Auto-entrepreneur;Insane Mag;Autre;www.insane-mag.com;;
Cameditsport;SAS;Cameditsport;Autre;;;
Liberaux.org;Association;Contrepoints;Autre;https://www.contrepoints.org;;
Satse Publications;SAS;Le Poulpe;Autre;;;
Indéloire;SAS;37degres-mag Info-Tours;Autre;www.37degres-mag.fr / www.info-tours.fr;;
Gastronomie-Info;SARL;Gastronomie Actu;Autre;www.gastronomie-actu.com;;
29 Faubourg;;Oscar&Andrée;Autre;;;
Parlons Info;Association;;Autre;http://parlonsinfo.fr;;
Génération Méta;SAS;The MetaNews;Autre;;;
E. Edition;EURL;Acteurs du franco-allemand;Autre;http://www.acteursdufrancoallemand.com/;;
Les Horizons;SAS;Les Horizons;Autre;https://leshorizons.net/;;
Gazette Sport et Culture;Association;Gazette Sports;Autre;www.gazettesports.fr;;
Marcelle Le Média;SAS;Marcelle;Autre;https://marcelle.media/;;
IC News;SAS;Info Chrétienne;Autre;www.infochretienne.com;;
Les Infos du Pays Gallo;SAS;Les Infos du Pays Gallo;Autre;https://www.lesinfosdupaysgallo.com/;;
Novastan;Association;Novastan;Autre;https://www.novastan.org/fr/;;
Entreprise De Presse Le Média;SAS;Le Média Presse;Autre;https://lemediapresse.fr;;
AAPLE;Association;Librinfo74;Autre;https://librinfo74.fr/;;
Presse Non Stop;SAS;Canard PC Canard PC Hardware;Autre;www.canardpc.com;;
Ablock;SAS;Ablock;Autre;www.a-block.fr;;
Gloria Média;SAS;Les Glorieuses;Autre;https://lesglorieuses.fr/;;
Vert;Auto-entrepreneur;Vert;Autre;https://vert.la;;
Les médias éphémères;SAS;L'arrière cour;Autre;http://www.larrierecour.fr/;;
Les Amis du MAP;Association;Les Autres Possibles;Autre;www.lesautrespossibles.fr;;
RPA - Relations Publiques Administrative;SARL;L'essor;Autre;lessor.org;;
L'imprimerie du Crestois;SARL;Le Crestois;Autre;http://le-crestois.fr/;;
Sans Filtre;SAS;Sans Filtre;Autre;https://sans-filtre.fr/;;
Belle Île Entreprises;Auto-entrepreneur;Belle Île Entreprises;Autre;belleileentreprises.com;;
Forestopic;Association;Forestopic;Autre;https://www.forestopic.com;;
Société de Presse de l'Oise;SA;Oise Hebdo;Autre;oisehebdo.fr;;
Tic Média;SAS;;Autre;;;
La Manufacture de l'Oust;Auto-entrepreneur;Trémolo Magazine;Autre;https://tremolo-mag.com;;
Journal Chrétien;SAS;Journal Chrétien;Autre;https://www.chretiens.info/;;
Le Pélican Bleu;SAS;Lescathos.com;Autre;https://lescathos.com;;
Nicolas Prissette;Auto-entrepreneur;;Autre;;;
Le Connecteur;Association;Le Connecteur;Autre;www.leconnecteur.org;;
You Matter;SAS;You Matter;Autre;https://youmatter.world/fr;;
Lire la Suite;Association;Grand-Format;Autre;www.grand-format.net;;
La Déferlante;;La Déferlante;Autre;;;
L'Artisan Édition;SAS;Sphères;Autre;;;
