,site,fb,twit,yt_user,yt_url,sc,insta,dm,site_name,id,twit_hyphe,fb_hyphe,fb_final,twit_final,pi_hyphe,li_hyphe
0,http://agri71.fr,agri71,agri71,,,,,,Agri71.fr,34,agri71,agri71,agri71,agri71,,
1,http://axonais.fr,laxonaisofficiel,,,,,,,Axonais.fr,73,,laxonaisofficiel,laxonaisofficiel,,,
2,http://bretons.bzh,bretons,magazinebretons,,,,,,Bretons.bzh,98,magazinebretons,,bretons,magazinebretons,,
3,http://c4magazine.org,,,,,,,,C4magazine.org,111,,,,,,
4,http://cameditsport.com,cameditsport,levegi1,cameditsport.com,https://www.youtube.com/channel/UCrCQO-y5BgQqH5xVqo47LxQ,,,,Cameditsport.com,117,,,cameditsport,levegi1,,
5,http://chouard.org/blog/,,,,,,,,Chouard.org /blog,137,,juan.branco.98,,,,
6,http://courrier-francais.com,,,,,,,,Courrier-Francais.com,165,,,,,,
7,http://cqfd-journal.org,cqfd-mensuel-1671478326397102,cqfdjournal,,,,,,Cqfd-Journal.org,177,cqfdjournal,cqfd-mensuel-1671478326397102,cqfd-mensuel-1671478326397102,cqfdjournal,,
8,http://creuse-agricole.com,creuseagricole,creuseagricole,,,,,,Creuse-Agricole.com,186,creuseagricole,creuseagricole,creuseagricole,creuseagricole,,
9,http://darons.net,,parantsmagazine,,,,,,Darons.net,188,parantsmagazine,,,,,
10,http://diktacratie.com,diktacratiecom,diktacratie,,,,,,Diktacratie.com,187,,,diktacratiecom,diktacratie,,
11,http://entraid.com,entraid,journal_entraid,entraid.com,https://www.youtube.com/channel/UCtk948ORqQ0oeeEWtgNEAuQ,,,,Entraid.com,219,journal_entraid,entraid,entraid,journal_entraid,,
12,http://factuel.info,factuelinfo,factuelinfo,,,,,,Factuel.info,237,factuelinfo,,factuelinfo,factuelinfo,,
13,http://haute-loire-paysanne.fr,,,,,,,,Haute-Loire-Paysanne.fr,305,,,,,,
14,http://ilfattoquotidiano.fr,,,,,,,,Ilfattoquotidiano.fr,338,estoyche,,,estoyche,,
15,http://information-en-direct-france.com,,,,,,,,Information-En-Direct-France.com,352,,flashinfogiletsjaunes,,,mickaelmickael_,
16,http://kezako.unisciel.fr,unisciel,unisciel,unisciel,http://www.youtube.com/unisciel,,,,kezako.Unisciel.fr,998,unisciel,unisciel,unisciel,unisciel,,
17,http://lagauchematuer.fr,la-gauche-ma-tuer,lagauchematuer,,,,,,Lagauchematuer.fr,416,lagauchematuer,,la-gauche-ma-tuer,lagauchematuer,,
18,http://lalterego.fr,,,,https://www.youtube.com/channel/UCUXg6UxOBQYejIcSqZvg4wQ,,,,Lalterego.fr,430,lalteregofr,lalteregofr,lalteregofr,lalteregofr,,
19,http://larenaissanceduloiretcher.fr,la-renaissance-du-loir-et-cher-111130649012373,,,,,,,Larenaissanceduloiretcher.fr,452,,la-renaissance-du-loir-et-cher-111130649012373,la-renaissance-du-loir-et-cher-111130649012373,,,
20,http://larevuedesmedias.ina.fr,larevuedesmedias,ina_revuemedias,,https://www.youtube.com/channel/UCD9xpWa_mjbbH0sskVjZxhg,,,,larevuedesmedias.Ina.fr,340,ina_revuemedias,larevuedesmedias,larevuedesmedias,ina_revuemedias,,la-revue-des-medias
21,http://latelelibre.fr,,,,,,,,Latelelibre.fr,470,,,,,,
