,0,orig_url,site_name
0,https://www.hebdi.com/,https://www.hebdi.com/,hebdi.com
1,http://www.rue89strasbourg.com,http://www.rue89strasbourg.com,rue89strasbourg.com
2,https://www.revue-farouest.fr/,https://www.revue-farouest.fr/,revue-farouest.fr
3,http://www.aqui.fr,http://www.aqui.fr,aqui.fr
4,http://presselib.com/,http://presselib.com/,presselib.com
5,http://www.nextinpact.com,http://www.nextinpact.com,nextinpact.com
6,http://rue89bordeaux.com/,http://rue89bordeaux.com/,rue89bordeaux.com
7,www.bobonnemagazine.com,http://www.bobonnemagazine.com,bobonnemagazine.com
11,https://parislightsup.com,https://parislightsup.com,parislightsup.com
12,https://parisderriere.fr,https://parisderriere.fr,parisderriere.fr
14,https://çameditsport.com/,https://çameditsport.com/,çameditsport.com
15,https://www.contrepoints.org,https://www.contrepoints.org,contrepoints.org
16,https://www.lepoulpe.info/,https://www.lepoulpe.info/,lepoulpe.info
21,http://parlonsinfo.fr,http://parlonsinfo.fr,parlonsinfo.fr
23,http://www.acteursdufrancoallemand.com/,http://www.acteursdufrancoallemand.com/,acteursdufrancoallemand.com
24,https://leshorizons.net/,https://leshorizons.net/,leshorizons.net
26,https://marcelle.media/,https://marcelle.media/,marcelle.media
28,https://www.lesinfosdupaysgallo.com/,https://www.lesinfosdupaysgallo.com/,lesinfosdupaysgallo.com
29,https://www.novastan.org/fr/,https://www.novastan.org/fr/,novastan.org
30,https://lemediapresse.fr,https://lemediapresse.fr,lemediapresse.fr
31,https://librinfo74.fr/,https://librinfo74.fr/,librinfo74.fr
34,https://lesglorieuses.fr/,https://lesglorieuses.fr/,lesglorieuses.fr
36,http://www.larrierecour.fr/,http://www.larrierecour.fr/,larrierecour.fr
39,http://le-crestois.fr/,http://le-crestois.fr/,le-crestois.fr
40,https://sans-filtre.fr/,https://sans-filtre.fr/,sans-filtre.fr
42,https://www.forestopic.com,https://www.forestopic.com,forestopic.com
45,https://tremolo-mag.com,https://tremolo-mag.com,tremolo-mag.com
46,https://www.chretiens.info/,https://www.chretiens.info/,chretiens.info
47,https://lescathos.com,https://lescathos.com,lescathos.com
50,https://youmatter.world/fr,https://youmatter.world/fr,youmatter.world
54,https://podmust.com,https://podmust.com,podmust.com
60,https://urbania.fr/,https://urbania.fr/,urbania.fr
61,https://asiepacifique.fr/,https://asiepacifique.fr/,asiepacifique.fr
62,http://linsatiable.org/,http://linsatiable.org/,linsatiable.org
64,https://www.corsenetinfos.corsica/,https://www.corsenetinfos.corsica/,corsenetinfos.corsica
65,https://www.tipandshaft.com/,https://www.tipandshaft.com/,tipandshaft.com
67,https://revusetcorriges.com/,https://revusetcorriges.com/,revusetcorriges.com
68,https://www.generationphd.com/,https://www.generationphd.com/,generationphd.com
